model,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
boosting,0.6900000000000001,0.9507908016391777,0.3667682926829268,0.5920275590551181,0.4529367469879518,2406,4154,109890,1658
boosting,0.7000000000000001,0.9524926338605344,0.37669376693766937,0.5814468503937008,0.45719260907419945,2363,3910,110134,1701
boosting,0.71,0.9544230704101331,0.3897710178840047,0.5738188976377953,0.4642181745794765,2332,3651,110393,1732
boosting,0.72,0.9561503031124056,0.4019694039036399,0.5625,0.46887498718080195,2286,3401,110643,1778
boosting,0.73,0.9576827987943238,0.41396462785556376,0.5529035433070866,0.4734513274336283,2247,3181,110863,1817
boosting,0.74,0.9589782233210282,0.4244826919357958,0.5401082677165354,0.47536545749864645,2195,2976,111068,1869
boosting,0.75,0.9605445863108342,0.43910911319983653,0.5287893700787402,0.4797945970082608,2149,2745,111299,1915
boosting,0.76,0.9618315440105666,0.4522375215146299,0.5172244094488189,0.48255280073461887,2102,2546,111498,1962
boosting,0.77,0.9631947031530463,0.46793564468615456,0.5081200787401575,0.48720066061106526,2065,2348,111696,1999
boosting,0.78,0.9642953906593965,0.48169418521177315,0.4953248031496063,0.4884144122285575,2013,2166,111878,2051
boosting,0.79,0.9653960781657466,0.4970893444697545,0.48326771653543305,0.49008109794136,1964,1987,112057,2100
boosting,0.8,0.9664882988451248,0.514118273841236,0.4749015748031496,0.4937324123816833,1930,1824,112220,2134
boosting,0.81,0.9674196498120364,0.5303370786516854,0.4645669291338583,0.49527806925498424,1888,1672,112372,2176
boosting,0.8200000000000001,0.9684864700104988,0.55092316855271,0.4552165354330709,0.4985179196981946,1850,1508,112536,2214
boosting,0.8300000000000001,0.9693077522267755,0.5690903367957192,0.4448818897637795,0.4993785388758459,1808,1369,112675,2256
boosting,0.84,0.9699342974226979,0.5849056603773585,0.4347933070866142,0.4988002822865208,1767,1254,112790,2297
boosting,0.85,0.9705015748298168,0.602112676056338,0.42076771653543305,0.49536500579374276,1710,1130,112914,2354
boosting,0.86,0.9711281200257391,0.6216517857142857,0.4111712598425197,0.49496445497630326,1671,1017,113027,2393
boosting,0.87,0.9717207979137739,0.6427444794952681,0.40108267716535434,0.49393939393939396,1630,906,113138,2434
boosting,0.88,0.9723134758018085,0.6672283066554339,0.38976377952755903,0.49207828518173347,1584,790,113254,2480
boosting,0.89,0.9727198834964609,0.6886200716845878,0.3781988188976378,0.4882465057179161,1537,695,113349,2527
boosting,0.9,0.973041622921394,0.7105263157894737,0.36540354330708663,0.48261293467663313,1485,605,113439,2579
boosting,0.91,0.9732448267687202,0.7344398340248963,0.3484251968503937,0.472630173564753,1416,512,113532,2648
boosting,0.92,0.9735834998475971,0.7628062360801782,0.33710629921259844,0.46757679180887374,1370,426,113618,2694
boosting,0.93,0.9736766349442882,0.7860994607549431,0.3228346456692913,0.45770102912960053,1312,357,113687,2752
boosting,0.9400000000000001,0.9737359027330917,0.8075447570332481,0.3107775590551181,0.4488272921108743,1263,301,113743,2801
boosting,0.9500000000000001,0.9736681681173164,0.8285123966942148,0.29601377952755903,0.43618564176939806,1203,249,113795,2861
boosting,0.96,0.9736597012903444,0.8553318419090231,0.28223425196850394,0.4244218316373728,1147,194,113850,2917
boosting,0.97,0.9732532935956921,0.8792958927074602,0.25812007874015747,0.3990869317101008,1049,144,113900,3015
boosting,0.98,0.9723050089748366,0.8891069676153092,0.22293307086614172,0.35648239228801887,906,113,113931,3158
boosting,0.99,0.9706793781962272,0.9055330634278003,0.16510826771653545,0.2792924037460978,671,70,113974,3393
